local_15min,232,547,1766,1879,2931,3734,4147,4601,4830,5652,6148,6264,8273,8555,8622,8862,9085,9341,9818,avg
2018-02-01 00:00:00-06,0.391,1.9509999999999998,0.912,0.5880000000000001,0.096,0.56,1.724,0.976,1.159,0.19,1.75,0.09,0.954,0.493,1.025,0.4970000000000001,0.31,0.653,0.0,0.7536315789473683
2018-02-01 00:15:00-06,0.5660000000000001,1.1929999999999998,0.378,0.5579999999999999,0.162,0.8,1.693,0.922,0.925,0.379,1.79,0.111,1.142,0.306,0.479,0.394,0.2,0.667,0.0,0.666578947368421
2018-02-01 00:30:00-06,0.675,0.905,0.28800000000000003,0.5599999999999999,0.195,0.442,1.652,0.91,0.7959999999999999,0.359,1.919,0.071,1.121,0.355,0.301,0.399,0.307,1.054,0.0,0.647842105263158
2018-02-01 00:45:00-06,0.421,0.7689999999999999,0.458,0.532,0.096,0.318,1.7100000000000002,0.96,0.828,0.256,1.758,0.127,1.198,0.35100000000000003,1.04,0.412,0.199,0.706,0.0,0.6388947368421052
2018-02-01 01:00:00-06,0.419,0.785,0.338,0.621,0.095,0.392,1.743,0.895,0.858,0.162,1.504,0.079,0.6890000000000001,0.584,1.058,0.246,0.298,0.589,0.0,0.5976315789473684
2018-02-01 01:15:00-06,0.418,0.713,0.39,0.528,0.096,0.387,1.7630000000000001,0.341,0.86,0.238,1.296,0.166,0.85,0.528,1.032,0.252,0.204,0.53,0.0,0.5574736842105263
2018-02-01 01:30:00-06,0.7440000000000001,0.7659999999999999,0.285,0.464,0.17600000000000002,0.304,1.7700000000000002,0.35100000000000003,0.855,0.301,1.057,0.069,1.0490000000000002,0.375,1.065,0.287,0.276,0.4350000000000001,0.0,0.5594210526315789
2018-02-01 01:45:00-06,0.319,0.7020000000000001,0.335,0.564,0.174,0.335,1.755,0.284,0.8690000000000001,0.218,0.674,0.069,0.863,0.316,1.033,0.208,0.228,0.48,0.0,0.49610526315789477
2018-02-01 02:00:00-06,0.252,0.7709999999999999,0.366,0.67,0.095,0.332,1.4960000000000002,0.309,0.855,0.18600000000000005,0.5820000000000001,0.13,1.161,0.452,1.067,0.309,0.257,0.655,0.0,0.523421052631579
2018-02-01 02:15:00-06,0.374,0.675,0.34,0.475,0.096,0.331,1.518,0.343,0.765,0.343,0.794,0.07,1.15,0.6709999999999999,1.035,0.208,0.246,0.605,0.0,0.5283684210526317
2018-02-01 02:30:00-06,0.725,0.775,0.274,0.534,0.096,0.426,1.723,0.274,0.7489999999999999,0.383,0.465,0.08900000000000001,1.432,0.725,1.062,0.243,0.238,0.47200000000000003,0.0,0.5623684210526315
2018-02-01 02:45:00-06,0.454,1.97,0.331,0.644,0.174,0.532,1.5800000000000003,0.899,0.605,0.238,0.6459999999999999,0.111,1.156,0.639,1.035,0.294,0.264,0.4350000000000001,0.0,0.6319473684210526
2018-02-01 03:00:00-06,0.252,2.9190000000000005,0.306,1.382,0.175,0.525,1.526,0.928,0.7879999999999999,0.162,0.595,0.071,1.0490000000000002,0.51,1.061,0.174,0.361,0.682,0.47,0.7334736842105265
2018-02-01 03:15:00-06,0.251,0.6759999999999999,0.4370000000000001,0.715,0.095,0.35700000000000004,1.556,0.899,0.8009999999999999,0.184,0.525,0.155,0.947,0.573,1.034,0.16399999999999998,0.98,0.5479999999999999,0.604,0.6053157894736841
2018-02-01 03:30:00-06,0.672,0.777,0.277,0.488,0.096,0.267,1.598,0.978,0.772,0.268,0.53,0.092,1.2,0.62,1.06,0.162,0.412,0.442,0.503,0.5902105263157895
2018-02-01 03:45:00-06,0.523,0.735,0.341,0.531,0.096,0.266,1.494,0.939,0.758,0.199,0.627,0.07,1.074,0.68,1.033,0.123,0.297,0.473,0.537,0.5682105263157896
2018-02-01 04:00:00-06,0.301,0.703,0.276,1.266,0.16899999999999998,0.297,1.439,0.524,0.775,0.27,0.506,0.131,0.895,0.591,1.0590000000000002,0.06,0.201,0.633,0.0,0.5313684210526316
2018-02-01 04:15:00-06,0.253,0.7090000000000001,0.387,0.512,0.17600000000000002,0.327,1.5600000000000005,0.331,0.5750000000000001,0.325,0.589,0.071,1.149,0.481,1.032,0.058,0.297,0.5760000000000001,0.0,0.4951578947368422
