local_15min,547,1766,1879,2931,3734,4147,4830,6148,6264,8273,8862,9341,9818,avg
2018-06-01 08:00:00-05,1.064,0.299,1.4340000000000002,1.0,0.518,0.7929999999999999,0.5640000000000001,0.607,0.156,2.603,0.142,0.7030000000000001,0.98,0.8356153846153845
2018-06-01 08:15:00-05,1.057,0.348,1.4900000000000002,1.737,0.599,0.7330000000000001,0.5860000000000001,0.378,0.196,2.325,0.046,1.43,0.547,0.8824615384615384
2018-06-01 08:30:00-05,1.032,0.386,1.357,0.685,0.596,0.7370000000000001,0.675,0.711,0.147,5.523,0.046,1.11,0.502,1.039
2018-06-01 08:45:00-05,1.0390000000000001,0.431,1.412,0.562,0.578,0.851,1.251,1.357,0.249,3.649,0.046,1.3019999999999998,0.939,1.051230769230769
2018-06-01 09:00:00-05,1.3840000000000001,0.415,1.3019999999999998,0.927,0.536,0.871,2.5660000000000003,0.8190000000000001,0.218,2.768,0.046,1.449,0.921,1.0939999999999999
2018-06-01 09:15:00-05,1.648,0.368,2.276,0.969,0.618,1.032,1.934,0.6509999999999999,0.368,2.172,0.046,1.586,0.402,1.0823076923076922
2018-06-01 09:30:00-05,1.495,0.411,1.5860000000000003,0.599,0.617,1.2670000000000001,2.282,0.488,0.214,2.175,0.412,1.166,1.648,1.1046153846153848
2018-06-01 09:45:00-05,1.057,0.297,1.4580000000000002,0.5760000000000001,0.622,1.3110000000000002,2.59,0.23,0.146,2.5540000000000003,0.343,1.288,0.29,0.9816923076923078
2018-06-01 10:00:00-05,0.9640000000000001,0.469,1.2070000000000003,0.648,0.494,0.757,0.6079999999999999,0.345,0.207,2.136,0.248,1.1630000000000005,0.865,0.7777692307692308
2018-06-01 10:15:00-05,0.8500000000000001,0.421,1.64,0.655,0.491,0.856,0.4809999999999999,0.465,0.14800000000000002,2.004,0.203,1.4120000000000004,1.462,0.8529230769230769
2018-06-01 10:30:00-05,0.8480000000000002,0.501,1.556,0.638,0.498,0.7389999999999999,0.4670000000000001,0.302,0.16399999999999998,2.027,0.135,1.2400000000000002,2.504,0.8937692307692308
2018-06-01 10:45:00-05,0.8170000000000001,0.452,5.112,0.825,0.498,0.752,0.4500000000000002,0.27,0.195,1.784,0.091,0.8860000000000006,1.554,1.052769230769231
2018-06-01 11:00:00-05,0.8029999999999997,0.473,5.115,0.743,0.556,0.728,0.4440000000000004,0.503,0.239,1.673,0.091,1.481,2.064,1.1471538461538462
2018-06-01 11:15:00-05,0.9420000000000001,0.536,4.912,0.7170000000000001,0.612,0.7170000000000001,0.52,0.58,0.151,1.11,0.087,1.6270000000000002,4.35,1.2969999999999997
2018-06-01 11:30:00-05,1.143,0.512,4.256,0.614,0.607,0.9620000000000001,0.4430000000000001,0.303,0.147,1.37,0.081,1.1920000000000002,2.589,1.0937692307692308
2018-06-01 11:45:00-05,1.2679999999999998,0.5489999999999999,3.8169999999999997,0.773,0.5529999999999999,1.2319999999999998,0.4370000000000003,0.56,0.207,1.466,0.112,0.6779999999999999,4.467,1.239923076923077
2018-06-01 12:00:00-05,1.517,0.597,4.531000000000001,0.8079999999999999,0.595,1.3140000000000005,0.4350000000000001,0.35100000000000003,0.146,1.418,0.206,0.6780000000000008,4.481,1.3136153846153849
2018-06-01 12:15:00-05,1.6980000000000002,0.578,3.821,0.8540000000000001,0.593,1.006,0.4330000000000003,0.299,0.184,1.304,0.426,0.6870000000000003,4.5280000000000005,1.2623846153846154
2018-06-01 12:30:00-05,4.558,0.555,5.278,0.625,0.5539999999999999,0.6339999999999999,0.436,0.5,0.227,5.17,0.174,0.918,4.521,1.8576923076923075
2018-06-01 12:45:00-05,4.7490000000000006,0.636,3.4450000000000003,0.677,0.503,0.6040000000000001,0.4729999999999999,0.35200000000000004,0.14800000000000002,7.951,0.136,0.7589999999999995,4.547,1.9215384615384616
2018-06-01 13:00:00-05,2.478,0.468,3.4870000000000005,0.743,0.608,0.7960000000000003,0.4669999999999997,0.364,0.209,8.101,0.05,0.5970000000000004,4.59,1.7660000000000005
2018-06-01 13:15:00-05,2.213,0.382,3.451,0.735,0.605,0.8640000000000003,0.4289999999999998,0.418,0.14800000000000002,7.158,0.049,0.7869999999999999,4.612,1.6808461538461539
2018-06-01 13:30:00-05,1.757,4.461,3.1210000000000004,0.7340000000000001,0.599,0.7549999999999994,0.428,0.423,0.159,10.53,0.047,0.8339999999999996,4.618,2.1896923076923076
2018-06-01 13:45:00-05,1.8080000000000005,4.015,7.042999999999998,0.7490000000000001,0.493,1.0669999999999995,0.4310000000000005,0.298,0.203,10.886,0.127,0.6899999999999995,4.651,2.497
2018-06-01 14:00:00-05,1.9310000000000005,3.752,6.053999999999999,0.884,0.4920000000000001,1.5250000000000004,0.4270000000000001,0.415,0.232,8.806000000000003,0.162,1.09,4.708,2.3444615384615384
2018-06-01 14:15:00-05,1.7979999999999998,1.626,3.333,0.765,0.491,1.3210000000000002,0.4259999999999997,0.472,0.154,7.885,0.153,4.306,1.501,1.863923076923077
2018-06-01 14:30:00-05,1.81,0.362,3.0289999999999995,0.909,0.491,0.985,0.4529999999999999,0.31,0.147,6.647,0.045,4.073,0.525,1.522
2018-06-01 14:45:00-05,3.4139999999999997,0.309,3.249,0.979,0.555,0.7489999999999997,0.4930000000000003,0.5770000000000001,0.207,6.686,0.046,2.8389999999999995,0.289,1.5686153846153845
2018-06-01 15:00:00-05,2.0290000000000004,0.384,3.158,1.105,0.616,0.7049999999999996,0.4309999999999996,0.53,0.146,6.779,0.046,0.657,0.369,1.304230769230769
2018-06-01 15:15:00-05,2.972,0.441,3.0780000000000003,0.971,0.617,0.8909999999999999,0.43400000000000016,0.4920000000000001,0.222,7.8820000000000014,0.046,0.6639999999999997,0.4,1.47
2018-06-01 15:30:00-05,1.638,0.456,3.1519999999999997,1.06,0.601,0.8160000000000003,0.43299999999999983,0.54,0.187,6.697,0.104,0.8120000000000003,0.37,1.2973846153846154
2018-06-01 15:45:00-05,1.3970000000000002,0.306,3.1210000000000004,1.141,0.604,0.6509999999999998,0.432,0.5,0.14800000000000002,5.7360000000000015,0.162,0.7000000000000002,0.446,1.1803076923076925
