local_15min,547,1766,1879,3734,4147,4830,6148,6264,8273,9341,avg
2018-01-01 00:00:00-06,0.7100000000000001,0.912,0.4,0.914,2.529,1.1720000000000002,0.617,0.073,2.028,1.6469999999999998,0.9684666666666668
2018-01-01 00:15:00-06,0.7320000000000001,0.322,0.393,0.882,1.288,1.175,0.634,0.195,1.882,1.2990000000000002,0.8146666666666668
2018-01-01 00:30:00-06,0.7320000000000001,0.35200000000000004,0.539,0.698,1.374,0.5720000000000001,0.8109999999999999,0.183,1.916,0.812,0.7700666666666666
2018-01-01 00:45:00-06,0.79,0.38799999999999996,1.178,0.728,1.349,0.5770000000000001,0.5589999999999999,0.126,1.859,0.597,0.8216
2018-01-01 01:00:00-06,0.8009999999999999,0.42200000000000004,0.601,0.7140000000000001,1.6380000000000001,0.472,0.625,0.114,2.168,0.6439999999999999,0.7757333333333334
2018-01-01 01:15:00-06,0.7150000000000001,0.285,0.493,0.5920000000000001,1.654,0.523,0.644,0.114,1.839,0.609,0.7474666666666667
2018-01-01 01:30:00-06,0.765,0.33,0.3640000000000001,0.48,1.453,0.596,0.733,0.14,2.02,0.509,0.6689333333333334
2018-01-01 01:45:00-06,0.745,0.29,0.501,0.489,1.344,0.601,0.664,0.073,2.177,0.511,0.6889333333333334
2018-01-01 02:00:00-06,0.7220000000000001,0.335,0.467,0.55,1.6110000000000002,0.545,0.585,0.091,1.8840000000000001,0.7440000000000001,0.7010666666666666
2018-01-01 02:15:00-06,0.7539999999999999,0.44299999999999995,0.4370000000000001,0.363,1.5060000000000002,0.54,0.932,0.115,1.929,0.6609999999999999,0.7184
2018-01-01 02:30:00-06,0.748,0.505,0.757,0.355,1.524,0.5329999999999999,0.741,0.07400000000000001,1.885,0.604,0.6884666666666666
2018-01-01 02:45:00-06,0.711,0.4370000000000001,0.981,0.35,1.63,0.607,0.747,0.125,2.045,0.511,0.7027999999999999
2018-01-01 03:00:00-06,0.757,0.38,0.434,0.4,1.626,0.595,0.858,0.083,1.962,0.608,0.6591333333333332
2018-01-01 03:15:00-06,0.7050000000000001,0.41200000000000003,0.49,0.466,1.5400000000000005,0.5379999999999999,0.745,0.098,1.944,0.7320000000000001,0.7311333333333334
2018-01-01 03:30:00-06,0.7340000000000001,0.306,0.39,0.425,1.538,0.6509999999999999,0.727,0.15,1.932,0.5660000000000001,0.7165333333333334
2018-01-01 03:45:00-06,0.7340000000000001,0.29600000000000004,0.435,0.35100000000000003,1.4409999999999998,0.595,0.6970000000000001,0.07200000000000001,1.7730000000000001,0.688,0.6409333333333334
2018-01-01 04:00:00-06,0.7140000000000001,0.344,0.583,0.355,1.528,0.589,0.8859999999999999,0.076,1.885,0.954,0.6799333333333333
2018-01-01 04:15:00-06,0.723,0.28600000000000003,1.2819999999999998,0.325,1.669,0.7090000000000001,0.597,0.17,2.2,0.653,0.7192666666666666
2018-01-01 04:30:00-06,0.755,0.418,0.469,0.35100000000000003,1.6269999999999998,0.7010000000000001,0.574,0.381,2.0269999999999997,0.655,0.7568
2018-01-01 04:45:00-06,0.708,0.3670000000000001,0.4320000000000001,0.547,1.481,0.6679999999999999,0.8,0.3670000000000001,1.9069999999999998,1.13,0.8121333333333333
2018-01-01 05:00:00-06,0.7170000000000001,0.428,0.414,0.542,1.5700000000000005,0.705,0.638,0.294,1.9469999999999998,0.949,0.6993333333333334
2018-01-01 05:15:00-06,0.758,0.9279999999999999,0.394,0.451,1.459,0.669,0.6609999999999999,0.326,1.703,0.522,0.6705333333333334
2018-01-01 05:30:00-06,0.6900000000000001,0.261,0.519,0.34700000000000003,1.369,0.705,0.6459999999999999,0.317,2.1919999999999997,0.614,0.6758000000000002
2018-01-01 05:45:00-06,0.738,0.327,1.1170000000000002,0.344,1.469,0.512,0.755,0.267,1.896,0.812,0.7975333333333335
2018-01-01 06:00:00-06,0.7100000000000001,0.386,0.728,0.35,1.473,0.625,0.625,0.24100000000000002,1.8459999999999999,1.1860000000000002,0.7611333333333333
2018-01-01 06:15:00-06,0.7270000000000001,0.9690000000000001,0.444,0.38299999999999995,1.5570000000000002,0.7220000000000001,0.589,0.21600000000000005,1.8969999999999998,0.7180000000000001,0.6990666666666667
2018-01-01 06:30:00-06,0.706,0.276,0.4,0.457,1.314,0.6890000000000001,0.8640000000000001,0.18,2.104,0.493,0.6994666666666667
2018-01-01 06:45:00-06,0.757,0.41,0.44,0.428,1.265,0.6970000000000001,0.62,0.16,1.7369999999999999,1.108,0.7119333333333334
2018-01-01 07:00:00-06,0.701,1.1320000000000001,0.523,0.345,1.4320000000000002,0.672,0.6779999999999999,0.073,2.219,1.3090000000000002,0.8053333333333332
2018-01-01 07:15:00-06,0.7240000000000001,1.054,0.7110000000000001,0.34299999999999997,1.5230000000000001,0.7639999999999999,0.657,0.069,1.946,1.232,0.8445999999999999
2018-01-01 07:30:00-06,0.733,1.107,1.074,0.344,1.429,0.6990000000000001,0.7959999999999999,0.132,1.944,1.2360000000000002,0.9346666666666666
2018-01-01 07:45:00-06,0.6950000000000001,1.2209999999999999,0.439,0.342,1.4980000000000002,0.7100000000000001,0.605,0.24600000000000002,1.965,1.3430000000000002,0.8581333333333333
2018-01-01 08:00:00-06,0.731,1.095,0.435,0.449,1.5800000000000003,0.652,0.617,0.41200000000000003,1.5919999999999999,1.41,0.8330666666666667
2018-01-01 08:15:00-06,0.741,1.295,0.475,0.457,1.41,0.605,0.792,0.354,2.479,2.089,1.0542
